contract_id,contract_template,contract_date,client_name,P2_incident_or_lower_respond_time,P1_incident_respond_time,Payment_terms,SLA_Terms,Penalty_clause_SLA_breach, contract_value ,start_date,end_date,contract_status,contract_customer,contract_business_owner
226,CT001,10/07/2024,Champlin and Sons,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 818,223.44 ",24/03/2023,21/11/2025,Active,Jesse Hens,Roxie Moylane
227,CT002,07/12/2022,Effertz-Lesch,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 492,137.58 ",16/12/2023,24/05/2026,Pending,Carline Alderton,Michaela Broszkiewicz
228,CT007,29/03/2022,"Denesik, Romaguera and Reichel",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 228,447.39 ",28/05/2021,13/10/2027,Active,Jae Roderigo,Alana Shelf
229,CT005,13/01/2020,"Pfannerstill, Schamberger and Nitzsche",provide IT support within 6 hours,P1 incidents responded within 6 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 117,054.45 ",20/07/2020,29/01/2027,Pending,Burnaby Eppson,Roxie Moylane
230,CT008,19/07/2023,Pouros and Sons,provide IT support within 2 hours,P1 incidents responded within 1 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 755,498.27 ",12/07/2024,14/10/2027,Inactive,Manya Conquest,Nadean Fairbeard
231,CT001,06/01/2026,Rippin and Sons,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 244,531.02 ",13/03/2022,19/12/2027,Inactive,Jillene Stedall,Sky Riddington
232,CT006,02/06/2024,"Hahn, Effertz and Hudson",provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 726,562.97 ",07/05/2021,22/07/2026,Active,Sukey Acton,Michaela Broszkiewicz
233,CT006,09/08/2022,Beahan and Sons,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 75,943.05 ",07/09/2024,02/04/2026,Active,Cristen Alforde,Timothee Probbin
234,CT007,01/03/2023,"O'Conner, Cruickshank and Cole",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 423,826.18 ",26/09/2020,30/10/2025,Active,Smith Blanch,Royall Badder
235,CT003,01/04/2020,"Dickinson, Cole and Cassin",provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 937,264.59 ",13/09/2022,07/06/2026,Pending,Ardis Castagne,Royall Badder
236,CT001,05/02/2022,"Corkery, Emard and Dooley",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 337,101.50 ",01/10/2020,23/01/2026,Inactive,Tessy Rame,Gaspar Proud
237,CT007,18/09/2022,Strosin and Sons,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 312,905.98 ",24/04/2023,24/11/2025,Inactive,Sonny Caspell,Dasi Lockyear
238,CT003,08/03/2024,"Walsh, Bailey and Schaden",provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 459,703.30 ",16/11/2024,15/01/2027,Inactive,Charmaine McLernon,Baudoin Drescher
239,CT007,03/08/2023,Lindgren and Sons,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.9% up time,penalty clause: £20k per SLA breach," 888,493.66 ",23/10/2023,10/10/2026,Pending,Cecil Coultar,Winfred Dukesbury
240,CT001,14/10/2020,"DuBuque, Senger and Bogisich",provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 581,568.70 ",03/06/2023,02/06/2025,Inactive,Willard Issacson,Royall Badder
241,CT001,01/05/2026,Spinka and Sons,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 631,108.78 ",17/04/2024,02/04/2025,Active,Camey Hyrons,Pall Duester
242,CT005,22/07/2024,"Strosin, Pacocha and Jones",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £5k per SLA breach," 838,828.36 ",08/01/2020,12/05/2026,Active,Hasty Eayrs,Sky Riddington
243,CT007,29/04/2023,Jones Group,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 479,224.84 ",11/06/2021,22/11/2027,Inactive,Mace Meldrum,Sebastien Szubert
244,CT002,06/01/2024,"Howell, Pacocha and O'Connell",provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 164,959.85 ",14/09/2023,29/03/2027,Active,Timothea Quest,Reid Laval
245,CT003,05/06/2022,McClure Group,provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 351,435.45 ",07/11/2021,17/12/2026,Inactive,Boonie Kimbury,Royall Badder
246,CT005,14/02/2024,"Beer, Oberbrunner and Grimes",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 693,575.49 ",07/08/2021,24/08/2026,Inactive,Ludovico Aloway,Sebastien Szubert
247,CT001,15/03/2025,Stanton-Streich,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 794,826.41 ",06/04/2024,27/02/2025,Inactive,Barron Watchorn,Sebastien Szubert
248,CT004,29/10/2025,Legros Inc,provide IT support within 12 hours,P1 incidents responded within 8 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 703,773.99 ",17/03/2024,17/01/2025,Pending,Crysta MacTimpany,Orel Maunton
249,CT007,13/06/2024,Romaguera Inc,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 301,946.36 ",07/02/2021,02/08/2025,Inactive,Victor Kidstone,Royall Badder
250,CT006,16/09/2025,Hilll Inc,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 108,039.91 ",06/06/2022,09/10/2025,Pending,Winthrop Merali,Sebastien Szubert
251,CT007,20/05/2026,"Cruickshank, Kemmer and Bechtelar",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 91,447.72 ",25/10/2020,17/04/2025,Pending,Janelle Dent,Pall Duester
252,CT007,03/04/2021,Stiedemann Inc,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 531,639.88 ",06/01/2022,06/02/2027,Pending,Una Stutard,Gaspar Proud
253,CT007,08/07/2026,Hane-Reilly,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 179,973.64 ",17/02/2021,28/07/2027,Pending,Henrietta Whitaker,Gaspar Proud
254,CT002,13/07/2024,"Mante, Dibbert and Dare",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 566,928.49 ",24/11/2023,02/05/2026,Inactive,Orland Peak,Alana Shelf
255,CT002,25/02/2020,Stanton-Kirlin,provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 748,000.77 ",10/07/2020,17/06/2027,Pending,Winne Maplethorpe,Quinlan Hartzenberg
256,CT001,05/09/2026,Nikolaus-Mills,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 838,503.51 ",26/04/2022,17/07/2027,Active,Clair Boyen,Gerti Dovermann
257,CT002,16/09/2026,Russel-Hoeger,provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 939,430.47 ",05/04/2022,05/01/2027,Inactive,Noe Mouland,Buck Garrick
258,CT007,22/04/2021,Frami LLC,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £20k per SLA breach," 907,556.07 ",16/05/2023,05/09/2026,Active,Christalle Shanahan,Winfred Dukesbury
259,CT003,25/01/2025,"Schimmel, Rippin and Beatty",provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 922,204.70 ",06/03/2020,13/07/2025,Active,Traver Ardron,Buck Garrick
260,CT001,18/06/2024,"Hills, Connelly and Botsford",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 415,550.89 ",24/08/2023,15/12/2027,Active,Gilli Poure,Dougie Colebourn
261,CT004,07/06/2026,"Farrell, Pfannerstill and Jenkins",provide IT support within 12 hours,P1 incidents responded within 12 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 73,641.48 ",06/12/2022,07/09/2026,Inactive,Roger Begley,Gaspar Proud
262,CT007,24/02/2021,"Cummings, Walker and Klein",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 301,411.69 ",03/08/2021,29/03/2025,Inactive,Mikol Lincke,Tallie Bodd
263,CT007,19/05/2020,Goyette LLC,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 232,136.97 ",20/03/2024,10/07/2025,Active,Nathalia Stoltz,Quinlan Hartzenberg
264,CT007,02/04/2024,Herzog LLC,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 372,990.97 ",24/12/2024,24/11/2026,Inactive,Abbe Mingotti,Dasi Lockyear
265,CT005,10/08/2020,Harber-Yost,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £5k per SLA breach," 994,656.30 ",26/02/2020,11/06/2027,Active,Aldrich Scarman,Buck Garrick
266,CT005,06/04/2026,"Rogahn, Doyle and Murray",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 384,000.58 ",08/01/2024,04/09/2026,Active,Melisande Plesing,Pall Duester
267,CT001,21/12/2023,"Reichert, Medhurst and Labadie",provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 750,526.12 ",07/12/2021,12/10/2026,Inactive,Trenna Hutcheson,Royall Badder
268,CT008,10/06/2025,"Beier, Olson and Williamson",provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 187,688.69 ",05/01/2024,30/01/2027,Pending,Kenon Abbys,Pall Duester
269,CT002,15/06/2026,Streich-Wolf,provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 193,840.80 ",05/04/2021,14/12/2026,Inactive,Carline Eden,Hestia Commin
270,CT007,25/05/2022,Bartell-Block,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 371,365.82 ",23/07/2021,28/01/2025,Pending,Rudyard Halsall,Orel Maunton
271,CT001,10/06/2025,Corwin and Sons,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 106,902.29 ",06/07/2023,06/04/2026,Active,Heida Oman,Baudoin Drescher
272,CT008,12/02/2025,Treutel-Rogahn,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 247,733.00 ",07/08/2020,25/10/2026,Active,Karlik Willans,Alana Shelf
273,CT003,18/06/2024,Zulauf and Sons,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 697,632.00 ",16/10/2023,18/12/2026,Inactive,Pet Blewmen,Baudoin Drescher
274,CT002,12/10/2022,Mertz-Romaguera,provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 886,189.41 ",17/04/2021,04/08/2027,Active,Flore Doig,Baudoin Drescher
275,CT007,05/07/2025,Balistreri-Goodwin,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 223,275.50 ",02/07/2022,21/11/2026,Active,Ynes Ketley,Dasi Lockyear
276,CT002,11/04/2022,"Fadel, Dare and McLaughlin",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 418,621.88 ",02/01/2022,15/12/2027,Pending,Layne Gregr,Gaspar Proud
277,CT008,15/01/2025,Heaney-Senger,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 428,999.97 ",15/09/2021,04/08/2026,Inactive,Grete Doodney,Roxie Moylane
278,CT007,13/07/2026,Spencer Group,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £20k per SLA breach," 809,162.60 ",27/09/2024,09/08/2027,Active,Granger Bubbear,Quinlan Hartzenberg
279,CT003,06/03/2021,Bayer-Moen,provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 157,023.22 ",03/05/2022,25/03/2027,Pending,Avrom Quilligan,Sky Riddington
280,CT005,10/06/2023,Gusikowski Group,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 661,103.72 ",04/05/2020,23/08/2025,Pending,Molli Glacken,Nadean Fairbeard
281,CT003,01/08/2022,Funk-O'Kon,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 938,138.81 ",14/07/2024,06/04/2027,Pending,Terri Regenhardt,Dasi Lockyear
282,CT008,23/02/2021,Kub Group,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 683,355.53 ",06/01/2024,04/07/2027,Active,Farly Barkess,Baudoin Drescher
283,CT001,14/09/2025,"Hirthe, Barton and Effertz",provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 564,415.92 ",31/10/2023,31/05/2026,Active,Jacenta Pennycord,Michaela Broszkiewicz
284,CT008,17/01/2025,Ferry-Jakubowski,provide IT support within 2 hours,P1 incidents responded within 1 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.99% up time,penalty clause: £20k per SLA breach," 944,794.08 ",14/02/2020,20/02/2027,Pending,Carlynne Lamberts,Reid Laval
285,CT005,21/07/2025,"Harris, Reichert and Cartwright",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 308,210.08 ",18/07/2020,20/08/2025,Inactive,Udell Scirman,Pall Duester
286,CT008,23/03/2021,Kozey Inc,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 68,335.07 ",12/06/2020,07/02/2026,Pending,Sada Howsan,Winfred Dukesbury
287,CT007,17/12/2021,"Armstrong, Rutherford and Rice",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 411,032.60 ",20/03/2023,11/08/2026,Inactive,Dyanna Itzcovich,Tallie Bodd
288,CT002,31/03/2021,Schiller Group,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 512,534.06 ",26/02/2021,05/08/2025,Active,Baron Heinzel,Dasi Lockyear
289,CT005,18/07/2024,Swift Inc,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 380,241.85 ",27/10/2022,26/12/2026,Pending,Adolphe Scotland,Buck Garrick
290,CT004,21/11/2026,Miller-Rath,provide IT support within 12 hours,P1 incidents responded within 12 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 71,599.52 ",29/05/2023,23/01/2026,Inactive,Scot Ondrus,Alana Shelf
291,CT003,14/09/2024,Kshlerin Inc,provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 414,093.96 ",24/11/2021,27/05/2027,Pending,Gillan McNish,Hestia Commin
292,CT001,10/08/2020,"Balistreri, Douglas and Conn",provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 709,364.65 ",16/03/2022,23/06/2027,Active,Ricard Tomasian,Tallie Bodd
293,CT004,07/02/2022,Heathcote-Strosin,provide IT support within 12 hours,P1 incidents responded within 8 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.99% up time,penalty clause: £5k per SLA breach," 913,309.11 ",22/04/2024,23/10/2027,Inactive,Samuel Alleyne,Nadean Fairbeard
294,CT006,07/06/2021,Cummings-Upton,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 88,935.38 ",30/01/2020,15/03/2026,Pending,Barr Wash,Nadean Fairbeard
295,CT002,14/05/2021,Bechtelar Group,provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 108,843.03 ",26/11/2021,10/02/2027,Active,Geoffrey Versey,Alana Shelf
296,CT004,05/04/2022,Schmeler Group,provide IT support within 12 hours,P1 incidents responded within 8 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 434,426.76 ",07/02/2023,10/05/2025,Inactive,Aldis Fenck,Reid Laval
297,CT001,23/07/2020,Bartell-O'Keefe,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 539,279.11 ",05/02/2023,04/09/2026,Pending,Mikaela Maffeo,Alana Shelf
298,CT001,22/12/2021,"Torphy, McKenzie and Collier",provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 882,029.62 ",11/04/2023,17/10/2027,Inactive,Janot Kindley,Michaela Broszkiewicz
299,CT007,10/05/2025,"Moen, Fritsch and Lang",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 520,610.29 ",04/04/2020,08/08/2025,Pending,Somerset Vaskin,Sky Riddington
300,CT004,09/11/2022,Hills LLC,provide IT support within 12 hours,P1 incidents responded within 12 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 194,809.58 ",10/06/2020,25/12/2027,Active,Madge Creech,Sky Riddington
301,CT003,24/08/2023,"Gleason, Goodwin and Corkery",provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 226,412.52 ",21/07/2023,07/01/2027,Pending,Lon Pero,Royall Badder
302,CT003,28/03/2021,Swaniawski-Smith,provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 304,947.84 ",12/07/2021,03/07/2026,Active,Thibaut Windle,Pall Duester
303,CT005,13/03/2020,Franecki-Bahringer,provide IT support within 6 hours,P1 incidents responded within 6 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 175,249.38 ",30/04/2023,20/10/2027,Inactive,Karrie Seak,Pall Duester
304,CT005,13/02/2026,"Kuphal, Stracke and Steuber",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.99% up time,penalty clause: £5k per SLA breach," 922,963.66 ",09/09/2022,10/06/2027,Pending,Lanie Larvin,Dougie Colebourn
305,CT003,22/03/2025,Nitzsche-Sanford,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 950,626.06 ",15/02/2024,28/01/2026,Pending,Brinna Lamprey,Dasi Lockyear
306,CT005,04/04/2023,Waelchi-Feeney,provide IT support within 6 hours,P1 incidents responded within 6 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 103,996.22 ",02/08/2022,14/04/2026,Inactive,Abagail Moughtin,Tallie Bodd
307,CT002,17/03/2024,Pouros Inc,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 211,683.77 ",03/06/2022,13/09/2027,Inactive,Leonard Schall,Sebastien Szubert
308,CT003,23/10/2026,Krajcik-Aufderhar,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 648,992.50 ",05/09/2020,08/02/2027,Pending,Carmella Newborn,Quinlan Hartzenberg
309,CT002,13/01/2020,"Bergnaum, Gutkowski and Ward",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 318,091.16 ",11/05/2024,21/01/2025,Active,Kerr Twitching,Buck Garrick
310,CT005,30/03/2024,"Heidenreich, Davis and DuBuque",provide IT support within 6 hours,P1 incidents responded within 6 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 133,192.53 ",14/04/2023,02/06/2027,Inactive,Harri Keiling,Quinlan Hartzenberg
311,CT001,14/11/2023,"Bednar, Paucek and Zemlak",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 295,878.46 ",17/04/2023,06/01/2025,Pending,Far Mingasson,Winfred Dukesbury
312,CT006,29/03/2024,"Pfeffer, Reichel and Schuster",provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 315,718.11 ",21/02/2023,20/06/2027,Inactive,Barny Gerrett,Nadean Fairbeard
313,CT008,27/09/2021,Paucek-Kohler,provide IT support within 2 hours,P1 incidents responded within 1 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 709,934.14 ",14/04/2020,23/07/2025,Pending,Evey Boult,Dougie Colebourn
314,CT006,23/05/2026,"Deckow, Wehner and Hane",provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 391,376.45 ",12/01/2021,19/08/2026,Active,Mose O'Geneay,Quinlan Hartzenberg
315,CT001,10/01/2023,Douglas-Balistreri,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £10k per SLA breach," 975,361.47 ",06/10/2022,01/07/2027,Pending,Welbie Pleace,Buck Garrick
316,CT007,23/08/2024,Kerluke-Morissette,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 659,123.86 ",20/11/2020,14/08/2027,Inactive,Flo Duck,Buck Garrick
317,CT001,19/03/2022,Stiedemann Group,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 389,537.87 ",11/02/2021,05/10/2027,Active,Lyman Sember,Royall Badder
318,CT008,05/08/2023,"Dickinson, Dickinson and McClure",provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 488,201.21 ",12/09/2021,25/03/2026,Pending,Lizbeth Wallhead,Baudoin Drescher
319,CT005,03/01/2024,Brakus and Sons,provide IT support within 6 hours,P1 incidents responded within 6 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 126,354.42 ",29/07/2023,22/04/2025,Inactive,Rodrigo Keepin,Reid Laval
320,CT005,18/05/2020,Brekke-Zieme,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 764,307.80 ",05/02/2024,13/09/2025,Active,Granville Spall,Pall Duester
321,CT003,12/11/2026,Osinski-Kuvalis,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 788,846.04 ",12/10/2021,18/06/2026,Inactive,Seline Olyfat,Gaspar Proud
